Job Title,Job Type,Contractor Tier
Flutter developer(fixing bugs and new features),Fixed-price,Intermediate
Mobile Application Development,Hourly: $25-$45,Expert
Flutter Developer ( iOS & Android ),Hourly: $7-$10,Expert
Flutter Developer: existing mobile app android/iphone,Fixed-price,Expert
Debug mobile apps and create builds - react native or flutter developer with backend experience,Fixed-price,Expert
A Laravel expert is needed for a developing a restful API for a mobile application,Fixed-price,Expert
Need eye-tracking integration into flutter mobile game applications,Hourly: $15-$25,Intermediate
Developer Needed for Travel and Entertainment App,Fixed-price,Expert
Flutter game developer,Fixed-price,Intermediate
Fullstack Flutter dev build new food tech product,Hourly: $15-$30,Intermediate
Application development front and back end,Fixed-price,Expert
Flutter app bluetooth functionality,Fixed-price,Entry level
Flutter Developer,Hourly: $10-$35,Intermediate
Building a mobile app for iOS android and web,Fixed-price,Intermediate
Developer needed to build a web/iOS/Android cross platform mobile app,Fixed-price,Expert
Offline Mobile Mapping App PoC Development,Hourly,Expert
Flutter App Paring Coding with Bluetooth Connection,Hourly: $25-$55,Expert
Andriod games and flutter,Fixed-price,Entry level
Mobile app developer needed for a social engagement platform,Fixed-price,Intermediate
Remove white screen before splash screen in flutter app,Fixed-price,Intermediate
"Full stack development php, app",Fixed-price,Intermediate
broadcast part of the application through Agora,Fixed-price,Expert
Mobile App Development,Hourly,Expert
Full stack developer (Flutter + Laravel) needed to develop a feature in an existing app.,Hourly,Expert
Developer for handling Elixir backend development,Hourly: $10-$12,Expert
"Build a web system using Asp,net Core that will work with a mobile app build using Flutter",Fixed-price,Intermediate
"Need to Develop Marketplace Product ( Like Airbnb, OYO)",Fixed-price,Expert
Simple PoC Flutter App,Hourly: $8-$10,Intermediate
Flutter Developer required for a project,Fixed-price,Expert
Looking for Flutter (Firebase) Developer,Hourly: $10-$29,Expert
Flutter Mobile Developer Wanted - NEED ASAP,Hourly: $10-$30,Intermediate
Application back end developer,Fixed-price,Expert
Prototype a Front-end Version of a Mobile App,Fixed-price,Entry level
"Flutter Senior Developer, an EXPERT in the BLoC architecture",Hourly: $15-$30,Expert
FlutterFlow developer,Fixed-price,Expert
Front End Dev for FinTech - Flutter Experience,Hourly: $20-$30,Expert
Mobile Developer with Construct / Cordova Expertise,Fixed-price,Intermediate
Psikoterapi Seans Yönetim Uygulaması,Hourly: $15-$40,Intermediate
"Full Stack Developer - Angular, Flutter, Node",Hourly: $15-$30,Intermediate
Flutter to Chrome Extension Developer (or ReactJS),Hourly: $25-$45,Expert
Expert Flutter developer (potentially chance to become cofounder),Hourly: $25-$85,Expert
Edison Ev Android & IOS app,Hourly: $10-$30,Intermediate
Mobile App development,Hourly,Intermediate
Native android development,Fixed-price,Expert
Build Android (Kotlin) Component for Mobile App,Hourly: $24-$27,Intermediate
"Convert an existing Squarespace site to Flutter front-end, running on AWS",Hourly: $15-$30,Intermediate
Backend engineer | Typescript | CDK | GraphQL,Hourly: $10-$30,Expert
Build iOS & Android Mobile Application,Hourly: $25-$45,Expert
We looking for a Flutter developer to fix bugs and write new functionality (long-term cooperation),Hourly: $20-$45,Expert
Senior Flutter Dev,Hourly: $15-$20,Intermediate
"Develop 2 simple android games on React/Kotlin/Java/Xamarin/Dart/libGDX/Flutter - ""Chaotic"" / ""Dice""",Fixed-price,Intermediate
Flutter Developer,Hourly: $3-$18,Intermediate
Flutter Developer,Hourly: $25-$50,Expert
Frontend Developer Needed,Hourly: $15-$25,Intermediate
App Developer that specializes in ReactJS experience. Preferably someone who builds Admin Panels,Fixed-price,Intermediate
Looking for mobile app developer to develop a Heads Up type app,Fixed-price,Expert
Django & Flutter Developer,Fixed-price,Intermediate
Flutter developer for Sports Live Scores Mobile app,Hourly,Intermediate
Looking for a Flutter App developer for eCommerce app development,Hourly: $5-$15,Expert
FlutterFlow Songwriting App Developer,Fixed-price,Intermediate
Small flutter mobile application,Fixed-price,Intermediate
"Pose Estimation Mobile Application prototype (Flutter, Google ML Kit)",Hourly: $30-$60,Expert
Help me verify if an app idea is viable in my country is then i can pay to make it a reality,Fixed-price,Expert
Flutter App Development,Hourly: $25-$45,Expert
Flutter Developer for eCommerce Design & Development - Urgently,Fixed-price,Intermediate
Flutter developer with wordpress experience,Fixed-price,Expert
Looking for Flutter Developer who has experience developing Desktop Apps,Hourly: $15-$55,Expert
Flutter Developer to develop front end App and api integration,Hourly: $5-$20,Intermediate
Top PHP developers with Laravel experience needed to re-build an existing app & launch it in 8 weeks,Fixed-price,Expert
App development for Health monitoring device (not from a scratch),Fixed-price,Expert
Flutter Web Developer,Hourly: $15-$30,Intermediate
Flutter/Dart Developer to fix the youtube media player.,Fixed-price,Expert
Matchmaking app,Fixed-price,Expert
Flutter developer to do only UI and integrate with firebase,Hourly: $20-$35,Expert
Junior Flutter Developer (Mobile and Web Application),Hourly: $10-$20,Intermediate
Flutter deep linking expert,Fixed-price,Expert
Flutter logic developer,Fixed-price,Expert
Need Cross Platform Mobile App. Developer with BLE experience,Fixed-price,Intermediate
Build custom UI for filtering data in Flutter (Dart),Hourly: $15-$35,Intermediate
Mobile App Developer with ChatGPT and DALL-E Integration Experience,Hourly,Intermediate
ShadowSocks v2ray Plugin For Flutter(android && ios),Fixed-price,Intermediate
Mobile Developer for a Private Equity Firm that Acquires Software Businesses,Hourly: $40-$80,Intermediate
Programmers,Fixed-price,Intermediate
Full stack ruby or typescript developer with mobile experience,Hourly: $25-$45,Expert
App Developer,Hourly: $7-$8,Expert
Create asset based 3D avatar environment,Fixed-price,Intermediate
Job listing website,Fixed-price,Expert
Build an adoption app with admin panel with Flutter,Hourly,Intermediate
Flutter developer with laravel based backend.,Hourly: $12-$25,Entry level
Task Management App + Backend,Fixed-price,Intermediate
"Bug fix, existing app crashes on some iOS devices(need Mac and iphone to test iOS native bug)Flutter",Fixed-price,Expert
Looking for a full-stack software developer for a web App and Mobile App,Fixed-price,Intermediate
Flutter coder to Develop and test a mobile app for cooking recipe app,Hourly: $5-$20,Expert
FlutterFlow Expert for Community Video Application,Hourly: $25-$45,Expert
Flutter Developer,Hourly: $7-$16,Intermediate
Excellent hands on experience in Flutter,Hourly: $10-$45,Expert
On Demand Courier / Delivery Mobile App,Fixed-price,Intermediate
Full Stack Development,Fixed-price,Expert
Flutter Mobile Developer (Senior),Hourly: $25-$60,Expert
Simple task management system using Django and Flutter (fullstack developer),Fixed-price,Intermediate
Create delivery flutter app,Hourly: $25-$45,Expert
Flutter Developer,Hourly: $8-$12,Intermediate
Student Consultation platform app developer,Fixed-price,Entry level
Mobile Applications Solution Architect (with broad experience),Hourly,Expert
Flutter UI Development,Fixed-price,Intermediate
"Talented and Experienced Mobile Developers (Flutter, or Native) for MAWAQIT.net projects",Hourly,Expert
Flutter app,Fixed-price,Entry level
Flutter Developer,Fixed-price,Expert
Google Chrome Extension Developer,Hourly: $12-$30,Intermediate
Flutter developer,Hourly: $10-$25,Expert
Marketplace with Back-End in Go Lang and Front-End in Flutter.,Hourly: $15-$30,Intermediate
React Native Developer,Hourly: $10-$20,Expert
Flutter based App development | Similar to Urban Clap Application | Experience developers & Agencies,Hourly: $15-$20,Expert
Flutter / Dart Senior Mobile App Developer,Hourly: $30-$60,Expert
"Tech Lead - python, flutter, Django and ASW",Hourly: $15-$20,Expert
FLUTTER library development,Hourly: $5-$15,Intermediate
UI/UX Designer,Fixed-price,Expert
"Needed Project to be Completed contain different Technologies (ASP.NET Core, Flutter (Dart), ReactJs",Fixed-price,Expert
Create Flutter Projects on Daily Basis,Hourly,Entry level
Create Daily Flutter Projects + Record Videos,Hourly,Entry level
"Backend Developer - Firebase/Firestore/GCP: Typescript Cloud Functions, NoSQL, Clean Code",Hourly: $25-$65,Expert
Flutter Developer - Mobile & Web,Hourly: $20-$45,Expert
Build Flutterflow app,Fixed-price,Intermediate
Flutter Application crashing,Hourly,Intermediate
Rust Developer,Hourly: $30-$50,Expert
Razorpay Flutter Integration,Hourly,Intermediate
Looking for an experienced Flutter/Dart Developer to assist with App,Hourly: $25-$90,Expert
Flutter Application crashing,Hourly,Intermediate
"Build an iOS application with subscriptions, auth, prefer supabase/firebase backend",Hourly: $15-$40,Intermediate
Flutter mobile application - developer,Hourly: $30-$99,Expert
Flutterflow Print PDF data API,Fixed-price,Intermediate
Flutter task,Hourly: $5,Intermediate
Cooding application,Fixed-price,Expert
Flutter Teacher/Tutor - Real-time Development Projects,Hourly: $5,Intermediate
